,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
58,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:06.081647+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
59,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:11.341861+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
60,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:16.611148+00:00,ambiente,raspberry_pi_4,camera,35.2,34.6,35.0
61,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:21.871253+00:00,ambiente,raspberry_pi_4,camera,35.0,34.5,35.0
62,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:27.141730+00:00,ambiente,raspberry_pi_4,camera,34.9,34.4,35.0
63,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:32.403000+00:00,ambiente,raspberry_pi_4,camera,34.7,34.3,35.0
64,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:37.672531+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
65,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:42.933031+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
66,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:48.202466+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
67,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:53.462525+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
68,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:58.732387+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
69,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:03.994024+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
70,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:09.263391+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
71,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:14.523557+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
72,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:19.793451+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
73,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:25.053230+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
74,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:30.324658+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
75,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:35.584690+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
76,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:40.854306+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
77,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:46.114643+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
78,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:51.383900+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
79,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:55:56.644006+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
80,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:01.914822+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
81,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:07.174843+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
82,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:12.446346+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
83,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:56:17.706418+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
