,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
91,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:23.258584+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
92,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:28.519313+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
93,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:33.788784+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
94,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:39.048920+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
95,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:44.318769+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
96,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:54.842644+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
97,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:05.366356+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
98,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:10.627224+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
99,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:15.897256+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
100,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:21.158933+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
101,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:51:26.428802+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
