,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
55,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:22.392311+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
56,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:32.915888+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
57,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:38.187013+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
58,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:43.447313+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
59,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:48.716744+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
60,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:53.976862+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
61,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:59.247884+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
62,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:04.508328+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
63,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:09.781487+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
64,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:15.041548+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
65,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:20.311618+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
66,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:25.571769+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
67,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:30.841671+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
68,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:36.103654+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
69,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:41.373531+00:00,35.5,percepita,ambiente,raspberry_pi_4,camera
70,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:46.633547+00:00,35.5,percepita,ambiente,raspberry_pi_4,camera
71,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:51.905248+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
72,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:57.165413+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
73,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:02.436785+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
74,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:07.697108+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
75,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:12.967228+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
76,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:18.227384+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
77,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:23.497512+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
78,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:34.022838+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
79,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:39.283228+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
80,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:44.552960+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
81,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:26:55.077886+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
82,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:00.338017+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
83,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:27:05.609419+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
