_time,percepita,temperatura,umidita
2026-07-11 10:50:00+00:00,34.309090909090905,33.190909090909095,41.0
2026-07-11 10:51:00+00:00,34.46,33.279999999999994,41.0
2026-07-11 10:52:00+00:00,34.5,33.3,41.0
2026-07-11 10:53:00+00:00,34.5,33.3,41.0
2026-07-11 10:54:00+00:00,34.5,33.3,41.0
2026-07-11 10:55:00+00:00,34.5,33.3,41.0
2026-07-11 10:56:00+00:00,34.5,33.3,41.0
2026-07-11 10:57:00+00:00,34.69166666666667,33.416666666666664,41.0
2026-07-11 10:58:00+00:00,35.199999999999996,33.79090909090909,40.54545454545455
2026-07-11 10:59:00+00:00,35.1,33.8,40.0
2026-07-11 11:00:00+00:00,35.016666666666666,33.71666666666666,40.25
2026-07-11 11:01:00+00:00,34.918181818181814,33.581818181818186,40.81818181818182
2026-07-11 11:02:00+00:00,35.15833333333333,33.791666666666664,40.333333333333336
2026-07-11 11:03:00+00:00,35.081818181818186,33.79090909090909,40.0
2026-07-11 11:04:00+00:00,35.010000000000005,33.730000000000004,40.1
2026-07-11 11:05:00+00:00,35.12,33.8,40.1
2026-07-11 11:06:00+00:00,35.1,33.8,40.0
2026-07-11 11:07:00+00:00,35.1,33.8,40.0
2026-07-11 11:08:00+00:00,35.081818181818186,33.79090909090909,40.0
2026-07-11 11:09:00+00:00,35.03333333333333,33.766666666666666,40.0
2026-07-11 11:10:00+00:00,35.016666666666666,33.75606060606061,40.0
2026-07-11 11:11:00+00:00,35.0,33.74545454545454,40.0
2026-07-11 11:12:00+00:00,34.983333333333334,33.734848484848484,40.0
2026-07-11 11:13:00+00:00,34.96666666666667,33.724242424242426,40.0
2026-07-11 11:14:00+00:00,34.95,33.71363636363636,40.0
2026-07-11 11:15:00+00:00,34.93333333333333,33.7030303030303,40.0
2026-07-11 11:16:00+00:00,34.916666666666664,33.69242424242424,40.0
2026-07-11 11:17:00+00:00,34.9,33.68181818181818,40.0
2026-07-11 11:18:00+00:00,34.88333333333333,33.67121212121212,40.0
2026-07-11 11:19:00+00:00,34.86666666666667,33.66060606060606,40.0
2026-07-11 11:20:00+00:00,34.85,33.65,40.0
2026-07-11 11:21:00+00:00,35.1,33.8,40.0
2026-07-18 08:19:00+00:00,34.675,32.8,45.375
2026-07-18 08:20:00+00:00,34.73636363636364,33.018181818181816,44.0
2026-07-18 08:21:00+00:00,35.0,33.3,43.0
2026-07-18 08:22:00+00:00,35.0,33.3,43.0
2026-07-18 08:23:00+00:00,35.0,33.3,43.0
2026-07-18 08:24:00+00:00,35.054545454545455,33.3,43.27272727272727
2026-07-18 08:25:00+00:00,35.25454545454546,33.3,44.18181818181818
2026-07-18 08:26:00+00:00,35.08888888888889,33.3,43.44444444444444
2026-07-18 08:27:00+00:00,35.0,33.3,43.0
2026-07-18 08:28:00+00:00,34.945454545454545,33.3,42.81818181818182
2026-07-18 08:29:00+00:00,34.89090909090909,33.3,42.63636363636363
2026-07-18 08:30:00+00:00,35.0,33.3,43.0
2026-07-18 08:31:00+00:00,35.0,33.3,43.0
2026-07-18 08:32:00+00:00,35.0,33.3,43.0
2026-07-18 08:33:00+00:00,34.94,33.3,42.8
2026-07-18 08:34:00+00:00,34.75,33.3,42.166666666666664
2026-07-18 08:35:00+00:00,34.78181818181818,33.3,42.27272727272727
2026-07-18 08:36:00+00:00,35.018181818181816,33.3,43.09090909090909
2026-07-18 08:37:00+00:00,35.0,33.3,43.0
2026-07-18 08:38:00+00:00,34.910000000000004,33.3,42.7
2026-07-18 08:39:00+00:00,35.0,33.3,43.0
2026-07-18 08:40:00+00:00,34.75454545454546,33.3,42.18181818181818
2026-07-18 08:41:00+00:00,34.7,33.3,42.0
2026-07-18 08:42:00+00:00,34.7,33.3,42.0
2026-07-18 08:43:00+00:00,34.7,33.3,42.0
2026-07-18 08:44:00+00:00,34.7,33.3,42.0
2026-07-18 08:45:00+00:00,34.7,33.3,42.0
2026-07-18 08:46:00+00:00,34.7,33.3,42.0
2026-07-18 08:47:00+00:00,34.7,33.3,42.0
2026-07-18 08:48:00+00:00,34.7,33.3,42.0
2026-07-18 08:49:00+00:00,34.7,33.3,42.0
2026-07-18 08:50:00+00:00,34.7,33.3,42.0
2026-07-18 08:51:00+00:00,34.7,33.3,42.0
2026-07-18 08:52:00+00:00,34.7,33.3,42.0
2026-07-18 08:53:00+00:00,34.57272727272727,33.3,41.36363636363637
2026-07-18 08:54:00+00:00,34.68,33.3,41.9
2026-07-18 08:55:00+00:00,34.52727272727273,33.26363636363636,41.45454545454545
2026-07-18 08:56:00+00:00,34.24,33.0,42.1
2026-07-18 08:57:00+00:00,34.27272727272727,32.95454545454545,42.54545454545455
2026-07-18 08:58:00+00:00,34.11818181818182,32.809090909090905,43.0
2026-07-18 08:59:00+00:00,34.14,32.82,43.0
2026-07-18 09:00:00+00:00,34.208333333333336,32.916666666666664,42.583333333333336
2026-07-18 09:01:00+00:00,34.45,33.13,42.0
2026-07-18 09:02:00+00:00,34.65833333333334,33.25833333333333,42.0
2026-07-18 09:03:00+00:00,34.7,33.3,42.0
2026-07-18 09:04:00+00:00,34.7,33.3,42.0
2026-07-18 09:05:00+00:00,34.7,33.3,42.0
2026-07-18 09:06:00+00:00,34.345454545454544,33.11818181818182,41.72727272727273
2026-07-18 09:07:00+00:00,34.1,32.8,43.0
2026-07-18 09:08:00+00:00,34.1,32.8,43.0
2026-07-18 09:09:00+00:00,34.1,32.8,43.0
2026-07-25 09:58:26.900228+00:00,27.6,28.9,26.0
2026-07-25 09:58:32.213378+00:00,27.6,28.9,26.0
2026-07-25 09:58:37.486330+00:00,27.6,28.9,26.0
2026-07-25 09:58:42.756831+00:00,27.6,28.9,26.0
2026-07-25 09:58:48.038372+00:00,27.6,28.9,26.0
2026-07-25 09:58:53.301431+00:00,27.6,28.9,26.0
2026-07-25 09:58:58.571294+00:00,27.6,28.9,26.0
2026-07-25 09:59:03.863912+00:00,27.6,28.9,26.0
2026-07-25 09:59:09.175841+00:00,27.6,28.9,26.0
2026-07-25 09:59:14.443235+00:00,27.6,28.9,26.0
2026-07-25 09:59:19.721541+00:00,27.6,28.9,26.0
2026-07-25 09:59:24.981443+00:00,27.6,28.9,26.0
2026-07-25 09:59:30.251827+00:00,27.6,28.9,26.0
2026-07-25 09:59:35.512173+00:00,27.6,28.9,26.0
2026-07-25 09:59:40.784920+00:00,27.6,28.9,26.0
2026-07-25 09:59:46.461569+00:00,27.6,28.9,26.0
2026-07-25 09:59:51.776452+00:00,27.6,28.9,26.0
2026-07-25 09:59:57.036725+00:00,27.6,28.9,26.0
2026-07-25 10:00:02.306916+00:00,27.6,28.9,26.0
2026-07-25 10:00:07.567271+00:00,27.6,28.9,27.0
2026-07-25 10:00:12.838776+00:00,27.6,28.9,26.0
2026-07-25 10:00:18.111426+00:00,27.6,28.9,26.0
2026-07-25 10:00:23.384693+00:00,27.6,28.9,26.0
2026-07-25 10:00:28.645048+00:00,27.6,28.9,26.0
2026-07-25 10:00:33.915144+00:00,27.6,28.9,26.0
2026-07-25 10:00:39.175255+00:00,27.6,28.9,26.0
2026-07-25 10:00:44.449435+00:00,27.6,28.9,26.0
2026-07-25 10:00:49.709547+00:00,27.6,28.9,26.0
2026-07-25 10:01:00.233821+00:00,27.6,28.9,26.0
2026-07-25 10:01:05.503259+00:00,27.6,28.9,26.0
2026-07-25 10:01:10.764723+00:00,27.6,28.9,26.0
2026-07-25 10:01:16.034326+00:00,27.6,28.9,26.0
